Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
588557C,231259,426174,1.3,1.7,16.6,66,0.25,500,100,2.82,0.54,0.875,0.269,5.7,9.4,69.1,60.3,27.1,46.4,28.5,149.4,17.5,1.1,9.4,0.4,37.4,89.9,115.6,40,869.6,19.5,0.7,56.4,10.7,4.1,18.8,1,2.6,0.6,25.8,0.7,15.7,4.9,0.25,0.9,0.1,1.9,0.2,0.25,10.3,2,549,84,154,1.5,0.62,0.3
588558C,208485,403551,1.2,2.7,13.2,45,0.31,61,83,3.29,1.66,0.882,1.482,9.84,11.5,85.6,61,26,31.9,21.3,153,20.2,0.9,9.7,1,47,127.4,117.7,45.7,430.2,20,1.2,61.1,9.9,4.4,9.3,0.6,3.6,0.7,27.8,0.8,15.1,4.9,0.25,0.5,0.1,2.8,0.5,0.25,18.2,3,1145,63,152,1.29,0.83,0.28
588560C,238327,419514,1.5,1.7,13.6,53,0.41,81,12,2.17,0.87,1.084,0.555,7.58,13.2,93.8,69.1,57.7,52,41.2,142.4,15.9,0.9,6.6,0.8,26,68.9,151.6,40.5,996,19,0.7,53.5,7.1,4.5,20.8,1.1,3.8,0.2,22.1,1,12.9,4.2,0.25,1.1,0.25,1.9,0.1,0.3,8,2,511,57,121,1.42,1.34,0.7
588561C,241793,444442,0.1,0.7,2.8,10,0.34,6315,308,0.5,2.91,0.204,0.446,11.33,4.1,39.8,22.8,19.2,15.6,16.7,90.6,4.1,0.3,153.7,3.3,85.4,17.6,105.9,10.2,126,3.2,4,15.1,1.5,2,3.2,0.5,0.3,0.5,9.8,0.4,4,2,0.25,0.6,0.3,1,0.4,0.25,21.8,1,133,11,20,15.91,8.86,1.69
588563C,226596,395480,1.5,2.3,15,58,0.3,522,100,2.54,0.87,0.858,0.051,3.94,13.2,69.1,82.2,10.6,28.4,12.3,56.1,17.7,1.3,16.4,1.8,6.3,79.4,243,35,475.9,17,0.3,42.7,8,3.8,10.6,0.5,3.4,1.3,24.2,0.5,14,5.2,0.25,0.25,0.1,1.9,0.5,0.4,1.7,2,602,47,89,1.22,0.65,0.19
588564C,232905,419859,1.3,2.6,12.2,52,0.61,174,4,1.94,1.74,0.814,0.938,8.12,16.1,106.1,79.3,213.1,120.3,188.8,235.3,14.7,1.2,31.2,1.7,22.1,59.9,156,62.4,401.9,12.5,1.3,80.7,12,5.1,7.9,0.5,2.6,0.8,25.7,1.5,8.6,3,0.25,2.3,0.25,2.1,0.5,0.25,13.1,2,549,100,114,0.5,0.25,0.05
588565C,196297,393408,0.5,2.4,6.3,28,0.15,441,95,1.36,2.19,0.54,2.775,19.86,8.6,73.7,68.6,199.7,36.2,12.6,152.1,8.8,0.1,20.1,1.3,89.9,42,93.6,29,383.2,9,2.8,36.4,1.5,3.7,7.6,0.5,0.4,2.9,47.2,0.5,5.8,1.6,0.25,0.5,0.25,0.9,0.6,0.3,40,1,511,32,81,1.25,0.25,0.16
588566C,240910,448956,1.7,2.4,12.2,60,0.33,3436,2161,2.44,1.37,0.728,0.07,5.07,12.3,101.9,65.7,13.5,24.2,25.6,102.2,13.7,0.5,10.9,0.7,162.6,83.9,146.4,30.8,490.2,12.7,2.6,29.9,5.9,2.4,9.2,0.5,2.3,0.6,25.2,0.2,9.7,3.8,0.25,0.1,0.25,2.6,0.6,0.25,62.9,3,471,38,69,4.23,1.38,0.92
588567C,234131,404611,1,1.8,13.8,50,0.6,1089,100,2.58,1.42,0.792,0.233,7.47,10.3,86.4,84.8,34.2,46.4,39.8,201,15.6,0.3,24,1,26,90.7,191.9,35.1,431.7,14.2,0.8,45.4,6,3.4,10,0.9,3.4,1,27.5,0.3,11.5,4.7,0.25,0.25,0.25,2.1,0.9,0.25,8.4,2,535,49,90,3.89,1.02,0.69
588568C,254364,437250,1.3,1.4,17,51,0.24,57,13,2.61,0.7,0.996,0.317,9.18,14,100.7,83.2,44.5,39.1,25.1,125.1,20,1.6,13.9,0.8,34.3,88,170,36.6,1918.8,17.9,1.2,49.8,5.8,3.9,46.3,0.7,3.3,0.25,19.1,1.3,13.3,4,0.25,0.3,0.25,3,0.4,0.3,12,2,543,50,95,2.5,1.43,0.93
588570C,229279,399109,1,3,11.9,40,0.58,6573,60,2.24,2.7,0.731,0.105,7.08,12.9,84.8,100.2,19.2,64,49.2,234.8,16.6,1.3,17.1,2.5,40.7,89.4,291.5,33.6,263.7,13.3,3.5,39.5,4.6,3.8,5.2,0.1,3.1,0.8,43,1.1,11.2,5.7,0.25,0.6,0.25,3.3,0.8,0.25,8.9,3,600,40,71,3.03,0.97,0.51
588571C,208850,441815,0.5,2.2,7.6,28,0.33,1925,235,0.91,3.17,1.556,1.013,13.07,14.1,149.6,100.1,42.5,30.3,133.6,182,8.9,0.3,10.6,2.9,227.6,28.1,193.3,51.5,1614.6,15.9,2.6,76.7,6.6,7.3,32.8,0.4,2.8,0.7,18.3,1.3,13.4,8.1,0.3,0.4,0.25,0.9,1.6,0.25,605.4,1,798,90,146,10.82,4.41,1.63
